text,true_label,pred_label
Ở Sơn La có khách sạn nào gần trung tâm không?,info,info
Ở Bạc Liêu có di tích lịch sử nào nên tham quan?,info,info
Ở Hồ Gươm có địa điểm nào nên ghé thăm ạ?,info,info
Tôi muốn biết thêm thông tin về Tuyên Quang.,info,info
Du lịch Mộc Châu cần lưu ý điều gì?,info,info
"Bạn ơi, Lũng Cú có gì vui không?",info,info
Có tàu lửa đi Đà Nẵng không bạn?,info,info
Ở Bến Tre có lạnh vào ban đêm không?,info,info
"Tôi muốn ăn hải sản ở Cà Mau, bạn gợi ý giúp nhé?",info,info
Bạn có thể kể vài truyền thuyết liên quan đến Ba Bể không?,info,info
Homestay ở Quảng Ninh có phục vụ ăn sáng không?,info,info
Có thể xem múa rối nước ở Nha Trang không?,info,info
Có tour nào đi Sầm Sơn 3 ngày 2 đêm không?,info,info
Đi Đảo Hòn Tre vào cuối tuần có kẹt xe không?,info,info
Đường đến Đà Lạt có dễ đi không?,info,info
Có thể thanh toán bằng thẻ ở Đảo Nam Du không?,info,info
Có chuyến bay nào thẳng đến Bình Dương không?,info,info
Cao Bằng có bãi biển nào đẹp không?,info,info
Tôi nên đi tour hay tự túc khi du lịch Tam Đảo?,info,info
Đi Cam Ranh nên mang theo những gì?,info,info
Lễ hội ở Bình Định thường diễn ra vào tháng mấy?,info,info
Có tour nào đi Núi Sam 3 ngày 2 đêm không?,info,info
Ở Asia Park có lạnh vào ban đêm không?,info,info
Đảo Cù Lao Chàm có hoạt động truyền thống nào thú vị không?,info,info
"Bạn ơi, Kỳ Co có gì vui không?",info,info
Du khách thường làm gì khi đến Vườn quốc gia Cát Tiên?,info,info
"Tôi nghe nói Sầm Sơn có lễ hội rất đông, đúng không?",info,info
Có khách sạn nào ở Sun World Hạ Long phù hợp cho gia đình không?,info,info
Ở Núi Bà Đen có khách sạn nào gần điểm du lịch chính không?,info,info
Có nên đi Hà Nam vào mùa hè không?,info,info
Châu Đốc có bị ảnh hưởng bởi bão không?,info,info
Tôi nên đặt phòng ở khu nào khi đến Kiên Giang?,info,info
Tôi muốn biết thêm thông tin về Long An.,info,info
